data,chuva,pre_med,pre_max,pre_min,pto_med,pto_max,pto_min,rad_glo,tem_med,tem_max,tem_min,umd_med,umd_max,umd_min,ven_raj_max,ven_vel_med,et0
2009-01-01,0.4,1007.2166666666667,1010.4,1004.5,19.85,21.8,18.4,25140.7,21.833333333333332,25.2,20.1,88.54166666666667,97,75,15.3,7.7375,4.351671400384942
2009-01-02,36.4,1007.1541666666667,1009.8,1005.3,19.104166666666668,19.7,18.3,5160.6,20.220833333333335,21.3,19,93.29166666666667,96,86,15.6,7.804166666666666,1.6169021578873266
2009-01-03,107.8,1002.6625,1006.2,999.7,17.6375,19,15.6,4003.8,18.870833333333334,19.8,17,92.625,97,83,24.8,13.604166666666666,1.674860179966042
2009-01-04,2.2,1007.0208333333334,1009.8,1003.5,16.495833333333334,17.7,14.7,20357.899999999998,19.620833333333334,22.3,18.1,82.25,90,70,16.5,8.6625,4.096819047845718
2009-01-05,0,1009.7666666666667,1011,1008.6,16.445833333333333,18.3,14.5,32158,20.2875,23.9,16.8,79,89,66,7.3,3.816666666666667,5.455488268361947
2009-01-06,0,1008.2791666666667,1010.3,1006.7,16.6,17.8,15.5,32683.7,20.7375,23.1,17.7,77.54166666666667,90,65,15.2,7.595833333333333,5.455851213397432
2009-01-07,0,1006.875,1008.6,1004.9,18.3,19.5,16.7,31976,21.3,23.5,19,83.16666666666667,92,75,16.7,9.370833333333334,4.840675799168004
2009-01-08,0,1007.525,1011.1,1005.1,20.016666666666666,21.6,18.1,30760.1,21.975,24.7,19.2,88.875,95,75,13.3,4.404166666666667,5.049849916893142
2009-01-09,9.6,1012.625,1015.5,1009.5,20.179166666666667,22.2,18.9,13938.6,21.808333333333334,25.8,19.6,90.66666666666667,96,79,17.2,4.958333333333333,3.050173366171267
2009-01-10,5.6,1013.1708333333333,1015.7,1011,20.09583333333333,20.8,19.1,7739.4,21.304166666666667,22.3,20.6,92.875,96,86,16,8.366666666666667,1.9198511398919074
2009-01-11,5.2,1008.1958333333333,1011.9,1004.6,19.316666666666666,20.5,17.5,17207,20.770833333333332,22.9,18.3,91.54166666666667,97,75,17.7,8.716666666666667,3.3157998695930884
2009-01-12,0,1006.9375,1008.7,1004.8,19.225,21.3,16.5,28565.4,23.495833333333334,26.8,19.6,77.41666666666667,88,58,12.2,2.525,5.6643936731395295
2009-01-13,1.2000000000000002,1006.6416666666667,1008.8,1003.6,20.983333333333334,22.5,19.4,14327.8,22.345833333333335,24.9,20.8,91.95833333333333,96,84,12.4,3.529166666666667,2.845504720842193
2009-01-14,0.2,1003.3791666666667,1004.6,1002.1,20.866666666666667,23,18,28123.5,24.233333333333334,29.6,19.8,82.29166666666667,97,51,8.2,3.725,6.254289340213681
2009-01-15,0,1003.1416666666667,1006.1,1000.1,20.820833333333333,23,19.5,24471.6,22.629166666666666,26.1,20.5,89.45833333333333,95,80,9.3,4.808333333333334,4.305200451442817
2009-01-16,0,1005.5166666666667,1006.7,1004.2,20.375,21.9,19.1,24431.6,23.070833333333333,26.2,20.8,85.16666666666667,93,72,5.8,2.675,4.68804566636481
